"columna_1","columna_2"
"Muy malo","Muy malo , me han estafado el dinero de la reserva días antes de la llegada al piso , el anfitrión solo indico que no era creíble que yo pudiera cancelar la ida al lugar, el piso se encuentra en Triana Sevilla , el anfitrión Al aro y coanfitrion se quedan con la totalidad del dinero , no recomiendo la estafa de Airbnb, todavía estoy esperando respuestas , dinero ahorrado y trabajado por mi, se lo quedan porque es su política más sucia y absurda"
"No recomiendo el airbnb","No recomiendo airbnb, mi experiencia ha sido muy negativa. Tenía un viaje a París que fue anulado por huelga de controladores aéreos, cancele en cuanto lo supe para evitar problemas al anfitrión. Este alquiló su alojamiento porque así lo comprobé al día siguiente , le pedí el reembolso porque sabía que él no tenía ningún perjuicio por l ña huelga y se negó diciendo que hablara con airbnb. Estos a su vez se negaron diciendo que el anfitrión no quería devolver el dinero. Escandaloso y muy preocupante que ambos se enriquezcan de huelgas de controladores aéreas que saben que los huéspedes no pueden controlar. Recomiendo alquile hoteles donde estas cosas seguro que no hubieran pasado."
"Suelen cancelar poco antes del viaje","No recomiendo alquilar aquí, te cancelan 10 días antes del viaje sin motivo aparente. Te indemnizan con apenas un 2%, si vuelves a alquilar con ellos y buscate la vida a toda prisa con todo mucho más caro. Hay otras páginas mejores que no te hacen esta faena."
"Es una vergüenza como tienen Madrid…",""
"Hice una reserva con Airbnb y","Hice una reserva con Airbnb y, al día siguiente, me la cancelaron diciendo que no se había verificado correctamente la foto de mi DNI. Me puse en contacto con el servicio de atención al cliente y no me dieron ninguna solución; simplemente me decían que era decisión del anfitrión, sin asumir ninguna responsabilidad.Tuve que volver a contactar directamente con el anfitrión, quien me informó que Airbnb pone los precios sin consultarle y que suelen tener problemas con la verificación y la gestión de las reservas. Al final, tuve que reservar directamente con él y me costó 100 € más.Una experiencia decepcionante, poco profesional y totalmente desorganizada. No volveré a reservar con Airbnb, y no la recomiendo a nadie."
"NO SON FIABLES EN ABSOLUTO!!","NO SON FIABLES EN ABSOLUTO!!! La anfitriona de Caen (Aurelie) Francia ha mentido sobre mi en el feedback, el estudio estaba sucio y sin productos de limpieza, ha MENTIDO sobre mi en el perfil, HE RECLAMADO Y AIRBNB NO HA HECHO NADA POR SOLUCIONAR ESTO"
"El anfitrión nos exigió copia del DNI cuando es ilegal","El anfitrión nos exigió mandar copias de DNI de todos los que nos íbamos a alojar. El 17 de junio de 2025, la Agencia de protección de datos de España informó que no se pueden pedir copias de DNI para alojamientos, solo datos a rellenar en un formulario. Pues bien, como AirBNB no nos ofrecía ninguna solución y la anfitriona decía que sin copia de DNI no entraríamos, debimos cancelar con una penalización de más del 50% del precio del alojamiento (cancelamos cinco días antes de ir). En fin, AirBNB nunca más. A partir de ahora a mirar hoteles de toda la vida."
"No pongo 0 porque no me deja opción.","No pongo 0 porque no me deja opción.Airbnb colabora con anfitriones que engañan y estafa a usuarios de 10 años de experiencia."
"Plaga Hormigas y AIRBNB no actua","El alojamiento tenia una plaga de hormigas por la casa, se reclamo al anfitrión, y este no tomo soluciones, el caso se traslado a AIRBNB, que consideraron que vivir con la plaga de hormigas tenía una indemnización de 18€."
"Airbnb horrible!","Frigorífico con comida en mal estado y el olor q supone, horno que jamás se limpio, plaga de cucaracha. Tengo foto del horno y video con la plaga d cucarachas de la cocina. Me dicen que me contactan pronto y nada. Horrible, la primera vez q necesito algo de ellos, y nada. Muy decepcionada con la pésima reaccion de Airbnb"
"Es una estafa sin matices","Es una estafa sin matices, Atencion al cliente es una absoluta farsa."
"La peor empresa de servicios del mundo","La peor empresa de servicios del mundo, no he visto nada igual y ya son muchas personas que opinan igual,todos los días le pido a Dios que cierre y quiebre airbnb por abusadores y publicidad engañosa,deben además aplicarles sanciones para que cierren y desaparezca, torres más altas  han caído, me dejaron abandonados en Emiratos Árabes sin sábanas en ellas camas,sin toallas,habitación sucia y no apareció nadie,hubo un corte de suministro eléctrico en el edificio y otro día corte de agua, en una de las  mejores zonas de Dubái.Se desentendieron del problema y no los denuncie porque   mis abogados comentaban que no merecia por los gastos de reclamación.Les deseo lo peor a airbnb y a sus responsables, la vida les devolverá el daño causado"
"Estafadores","Me han cobrado 560 euros de una reserva que cancelé a las 2 horas de hacerla porque una vez hecha me llegaron las condiciones del anfitrión donde decía que a las 10am del domingo tenía que dejarlo. Al cancelarla Airbnb dice que las condiciones del anfitrión es cobrar ese dinero, pero el anime dice que él no ha cobrado nada, que eso lo cobra airbnb. Intento reactivarla porque ya que voy a perder más de 500 euros prefiero pagar el total, que son 700, y al menos disfrutar del alquiler y me dicen que no se puede reactivar ya. Por supuesto les he puesto una denuncia en la comisaría y mi banco está avisado. Me he desinstalado la app y jamás volveré a usarla, y desde aqui recomiendo a la gente que use Wallapop que pone apartamentos también, booking, o cualquie otra. BOICOT A AIRBNB"
"No me pongo cero porque no me da la…","No me pongo cero porque no me da la opción. Airbnb no protege a los clientes, promocionando alojamientos inadecuados y que no se ajustan a lo que se encuentra en la web. No deberíamos alquilar más a través de esta plataforma ya que no nos respalda en lo absoluto. Experiencia fatal. Exponen a los clientes a zonas peligrosas, alojamientos sucios, inseguridad etc y no les importa"
"Airbnb no sirve","Tuve un problema con un alojamiento donde el anfitrión mintió en su descripción, y terminé alojado en pésimas condiciones, y Airbnb NO HIZO NADA. Me dieron mil explicaciones y me ilusionaron con solucionar ese problema, pero no hicieron nada. No los recomiendo. Defienden a los anfitriones y no les importa el huesped"
"Estafa y abuso","Tone una reserva de 35 dias CON SEGURO con 3 meses de antelacion, 2 semanas despues se presento un inconveniente de trabajo y tuvenque cancelar el viajePues resulta que la penalizacion es de 30 dias !! Y el seguro solo cubre si te mueres o si la linea aerea cancela el vuelo...Vaya ESTAFA, HUYAN DE AQUI.."
"Son unos estafadores","Son unos estafadores. Me mueven la selección de la fecha que yo he elegido y encima cancelo y se quedan 114€. Nunca más!"
"Apartamento en el centro turistico en Ubeda","Quisimos hacer una reserva en Úbeda (Jaén), nos quisimos poner en contacto con el anfitrión (Antonio Jesus) para que nos diera la dirección exacta del apartamento ya que en el mapa del anuncio solo pone un punto pero no pone la dirección, no ha habido forma de contactar con él, es más, hemos estado en ese punto y no existe apartamento ninguno y me parece una estafa, hemos tratado de ponernos en contacto con Airbnb y no hemos tenido respuesta de nada, yo creo que la foto de Antonio Jesus que está en el anuncio no corresponde al anfitrión.Me gustaría que les hicieran quitar ese anuncio hasta no aclarar la situación, no sentirse timado, muchas gracias por dejarme escribir esta reseña."
"Tan sinvergüenzas como el anfitrión o más","Reservamos un alojamiento en Estambul que resultó estar a medio reformar (baño inacabado sin mampara, con tubos saliendo de las paredes sin acabar y una cisterna sin agua) y una supuesta cocina que de cocina sólo tenía el nombre (sin fuegos, sin microondas y sin absolutamente nada de nada de equipamiento ni cubiertos, ni vasos, ni una sola cazuela CERO NADA DE NADA) y lo pusimos en conocimiento de los inútiles de atención al cliente de Airbnb (enviando todas las fotos) y resultaron ser más sinvergüenzas si eso es posible que el impresentable del anfitrión. Respuesta de atención al cliente de Airbnb: el baño lo consideraban correcto porque la cisterna no la podían comprobar ellos mismos y la cocina según ellos estaba equipada aunque no sé observara ni un triste tenedor o vaso.. porque como en el anuncio no hacía constar que hubiera utensilios.. los muebles estaban.. 😳 es decir, toman por imbéciles a todos sus huéspedes.Desde cuándo y en cual de sus anuncios hay un inventario de lo que tiene la ""cocina""?? Les parece normal que no tenga nada y no tenga ni fuegos ni microondas?? Señores imbéciles serán ustedes en todo caso que son más sinvergüenzas que el anfitrión que también es un listo.IMPRESENTABLES Y ESTAFADORES AIRBNB"
"La peor experiencia de mi vida no lo…","La peor experiencia de mi vida no lo recomiendo, te dejan tirado nadie soluciona nada, les falta actualizarse en el mercado no saben cómo funciona el mercado y sus clientes"
"Airbnb ME PARECEN UNOS SINVERGÜENZAS","Airbnb me parecen unos sinvergüenzas de primera clase insuperables. Tratan mal a los clientes y peor a los propietarios. Sólo tienen afán recaudatorio y se dedican permanentemente a amenazar a sus clientes ya sean hospedados o bien propietarios. Mi propiedad ha dejado de estar en las listas de Airbnb por SINVERGÜENZAS. No te recomiendo que uses la plataforma, la cual va a menos y se vale de cobrar comisiones a sus clientes que si llamas al propietario de forma directa te ahorras cerca de un 15% o más, en cada reserva. Caterva de usureros."
"Cama insufrible, 0 compensación","Llegué a las 15:00. El colchón era como de un campo de concentración. Podías contar los 48 muelles que se clavaban por todo tu cuerpo, así que mandé un mensaje al anfitrión pidiendo cambio de colchón u otra habitación. A las 18:00 no había respondido, me fuí a un hotel y llamé a Airbnb explicando todo. Me dijeron que lo entendían, que me quedara tranquilo, que con lo que les había explicado era suficiente, hablarían con el Anfitrión y me avisarían. El anfitrión me escribió a los 2 días diciendo que iba a cambiar el colchón, pero yo ya no estaba en su alojamiento, le dije que quería el dinero. Puse la reclamación correspondiente, ya que mi llamada a Airbnb se perdió en el limbo. A la reclamación me contestaron que no tenían evidencias suficientes, ya que solo les mandé un video donde se me veía sentado en la cama y se escuchaba el ruido infernal de los muelles. Al final pagué alojamiento, pagué hotel y me borré de Airbnb... espero que si usan esta app no les pase algo así. Yo la próxima vez me iré a un hotel directamente, pagaré más pero no pagaré dos veces."
"Lo peor que pueda pasar en tu vida…","Si hubiera -10 lo pondría.Lo peor que pueda pasar en tu vida ,como huésped o como host es encontrar Airbnb en tu camino.Como host te tratan malísimo ojalá hubieran un cuarto de la profesionalidad de otras plataformas,como huésped estas en desamparo porque tanto es el afán de recaudar que aceptan de todo.En fin borrado de mi mapa y os deseo lo mismo."
"Airbnb me robó 50 usd","Me estafaron con 50 usd. Planeo continuar hasta lo ultimo. serán 50 usd miserables pero son mios. Publiquen por dentro de Airbnb pero alquilen por fuera. Airbnb es estafa. Tocan tu billetera y te descuentan sin motivo justificable. Obviamente si reclamás te dicen el tipico ""lamentamos las molestias etc, etc, etc."" pero el dinero robado no te lo reintegran jamás. Ladrones los dueños y quienes trabajan para ellos y defienden su estafa."
"Poco de fiar ,como anfitrión nefasta…","Poco de fiar ,como anfitrión nefasta ,tuve un piso allí en alquiler ,no respetan tu privacidad y utilizan tus datos ,sin tu autorización."
"Pésimo en cuanto hay cualquier problema","Reservé en Sevilla (en Hommy Home Sevilla SL (U)) del 23 al 26 de enero.  El 18 de enero tuvo lugar la tragedia ferroviaria de Adamuz, quedando cortada la línea durante un par de semanas.  Le pedí al anfitrión ,desde que se supo,  que, dadas las excepcionales circunstancias,  me permitiese cancelar o cambiar fechas y se negó en redondo, diciéndome que me alquilase un coche.  Diez horas de coche para tres días de descanso (que era el propósito de mi viaje,  suelo ir a Sevilla y lo necesitaba mucho, por motivos de salud) rompía el propósito del viaje. Trasladado esto a Airbnb, su soporte fue CERO, trasladando todo el control al anfitrión y, lo que es peor,  que reclamase a RENFE. Como si Renfe tuviese la culpa de nada.  Esta empresa IRLANDESA se dedica a llenar el centro de nuestras ciudades de pisos turísticos, sin ningún control, convirtiéndolos en inhabitables y, cuando hai algún problema, como los derivados de la tragedia de Adamuz, se la pela. CERO SENSIBILIDAD, CERO AYUDA. Paremos los pies a Aitbnb antes de que sea tarde.  Dejemos de usar sus servicios, usemos alternativas con unos mínimos escrúpulos. Apoyemos todas aquellas iniciativas consistentes en freír a impuestos y tanto a Airbnb como a los anfitriones."
"Airbnb no se responsabilizo por la cancelación","Nuestro alojamiento quedó inhabitable por una inundación causada por un temporal, situación que fue confirmada por el propio anfitrión y documentada con pruebas. A pesar de tratarse de una emergencia real y ajena a nosotras, Airbnb se limitó a ofrecernos un reembolso, dejándonos sin alojamiento para el mismo día y con muy poca antelación.Las únicas alternativas que nos facilitaron eran mucho más caras, sin asumir la diferencia ni garantizar un realojo efectivo. En la práctica, nos dejaron completamente tiradas. La supuesta cobertura AirCover no funcionó como un seguro real ni como una ayuda en una situación de urgencia.Tuvimos que reservar por otra plataforma (Booking) para no quedarnos sin sitio donde dormir.Gestión fría, poco empática y totalmente insuficiente para una empresa que se presenta como respaldo en casos de emergencia.No volveríamos a confiar en Airbnb en una situación crítica."
"Nuestro alojamiento quedó inhabitable…","Nuestro alojamiento quedó inhabitable por una inundación causada por un temporal, situación que fue confirmada por el propio anfitrión y documentada con pruebas. A pesar de tratarse de una emergencia real y ajena a nosotras, Airbnb se limitó a ofrecernos un reembolso, dejándonos sin alojamiento para el mismo día y con muy poca antelación.Las únicas alternativas que nos facilitaron eran mucho más caras, sin asumir la diferencia ni garantizar un realojo efectivo. En la práctica, nos dejaron completamente tiradas. La supuesta cobertura AirCover no funcionó como un seguro real ni como una ayuda en una situación de urgencia.Tuvimos que reservar por otra plataforma (Booking) para no quedarnos sin sitio donde dormir.Gestión fría, poco empática y totalmente insuficiente para una empresa que se presenta como respaldo en casos de emergencia.No volveríamos a confiar en Airbnb en una situación crítica."
"NOS CANCELARON 24 H ANTES SIN ALTERNATIVA JUSTA","Teníamos un apartamento alquilado en París para 4 días, 24 horas antes de llegar nos comunicaron la cancelación de la reserva, me ""ofrecieron"" alternativas que no tenían nada que ver con el apartamento cancelado, ya que para nosotros era importante la ubicación y un bono de 20€ para que reserváramos. Tuve que buscar por booking un hotel que no se disparara demasiado de precio y de ubicación similar ( lo unico que encontre y me podía permitir era de lo peor). En definitiva, nos dejaron tirados, no nos apoyaron ni respaldaron, ni buscaron una solución real. Me pidieron disculpas, pero eso no soluciona nada. Me devolvieron el dinero pero no a mi cuenta, a un credito suyo para que vuelva a alquilar con ellos, cosa que no va a suceder porque he perdido toda la confianza que les habia depositado durante muchos años."
"No se hacen cargo de nada","No se hacen cargo de nada, te dejan totalmente vendido cuando tienes algún problema con el apartamento reservado. Reservo un apartamento que claramente me decía en mensaje anterior tenía calefacción, llegamos al apartamento y nada, engaño total… reclamo al propietario y ni caso, reclamo a Airbnb y tampoco, muy buenas palabras al principio pero te buscaremos una solución y te llamaremos y nada de nada… te dejan totalmente abandonado… una auténtica vergüenza. No valen para nada"
"No se responsabilizan de nada","No se responsabilizan de nada. Solamente cobran por no hacer nada"
"ESTAFA","He estado en un Airbnb en Tánger. Nada que ver con la descripción, sobre todo referente a la calefacción. Ni chiminea, ni calefactor en el salon. Reclamé via wspp a los contactos, no dando una solución. Reclamación hecha a Airbnb, les paso todos los wspp, pantallazos, fechas y horas y me dicen que: 1.- el interlocutor no figura en su base de datos y 2.- La información que mando no la pueden verificar como cierta. Resultado: me cierran reclamación y búscate la vida. Unos incompetentes que me han mareado con solicitud de información para nada. Aviso: si reclamáis al propietario, hacezlo via chat de la plataforma, porque si no, no sirve para nada"
"Alquilé esta propiedad por 215€","Alquilé esta propiedad por 215€, que pagué en su totalidad tal como se anunciaba. Al día siguiente, se me pidió pagar 300€ adicionales, alegando que no todos los gastos estaban incluidos, algo que nunca se mencionó claramente en el anuncio.Esta situación es inaceptable. Me siento engañado y decepcionado por la falta de transparencia. Los cargos ocultos después del pago son injustos y poco profesionales.Además, se quedan con el dinero, lo que me deja extremadamente frustrado y sin ninguna solución. La empresa que gestiona esta propiedad opera de una manera que parece una estafa.En general, fue una experiencia muy negativa, y recomiendo encarecidamente evitar este alojamiento y la empresa que está detrás."
"Venden humo","Venden alojamientos que no existen,cobrandolos,una autentica estafa,porque vender algo que no existe....y la devolucion del dinero una odisea,intentan quedarselo a toda costa con infinidad de pegas"
"Nefasto todo","Nefasto todo:- La cantidad de pasos para darte de alta- Una vez que los has conseguido puede haber una diferencia entre el precio que figura y el que luego te pide el propietario. En mi caso fue de casi 2000€. O sea no te fie de los precios que ponen.-Desde que lo contratas hasta que recibes la confirmación de propietario, pasa un tiempo. -Parece ser que los márgenes que se lleva esta plataforma son abusivos. Por un lado cobran a los propietarios y por otra a los inquilinos  No se como la usan los propietarios."
"Cambió de fechas el buscador","Cambio de fechas el buscador, hice la reserva y aunque inmediatamente anule la reserva ,me penalizaron con la devolución quedándose el importe del seguro.La anulación fue simultánea y ya no permitieron el reintegro total.Un robo camuflado de servicio"
"HORRIBLE","HORRIBLE, tuve que cancelar la reserva HMHMRB5YFF  por ingreso en hospital, con parte medico y por una neumonia, algo bastante serio. Aun asi no te reembolsan nada, su politica de circunstancias excepcionales no cubre esto. Me dijeron que solo el propiertario del piso me puede reembolsar. Eso si te cobran por todo y luego para nada. 200 euros a la basura."
"Trata muy mal a los anfitriones…","Trata muy mal a los anfitriones Superhost que damos el mejor servicio a sus guest, no se puede confiar en esta plataforma de airbnb presumen de un seguro cover cuando los guest rompen o pierden llaves etc Y NO HACEN NI CASO. La atención es de robots o personas sin experiencia que contratan en India para valorar las reseñas MUY MAL hay que ir emigrando a otras plataformas que atiendan mejor a los anfitriones NO SE PUEDE CONFIAR EN ESTA PLATAFORMA QUE DEJA TOTALMENTE DESAMPARADO Y SI PROTECCIÓN A LOS SUPERHOST"
"Decepción absoluta","Después de 10 años en la plataforma manteniendo el status de superhost ( nada fácil de conseguir por otro lado) he decidido dejar de formar parte de una comunidad en la que no creo. Me han defraudado profundamente tanto como huésped como anfitriona. Este verano me estafaron unos anfitriones que se anunciaban en su página y no recibí ninguna tipo de asistencia, de hecho estas personas siguen anunciadas como si nada. Una huésped provocó varios desperfectos e incumplió prácticamente todas las normas de casa y tampoco hicieron nada al respecto.  Hay demasiadas plataformas que ofrecen los mismos servicios, me niego a seguir haciéndoles ganar dinero a mi costa. Hasta nunca Airbnb!"
"La resolución de problemas en rbnb","Desde mi experiencia diría que para rbnb son muy importantes las opiniones de los huéspedes y menos los la de los anfitriones (esto es por un problema que tuve hace un tiempo porque el huésped dijo que tenía cámaras en mi casa y no me pagaron) Llevo bastantes años con ellos y como es muy cómoda esta manera de alquilar, sigo en la plataforma.  No es la primera vez que he tenido tropiezos con ellos la última vez, ayer, problemas en el calendario con días disponibles y precios. Da igual lo que les digas se enrocan en el registro de datos que  ellos tienen, y no admiten que haya podido haber un error. A ti te toca aguantarte. A ver si se me quita la pereza del montón de datos que supone hacer un anuncio y lo pongo en Booking."
"No me reconocen pago rebotado por entidad bancaria","Me transfirieron a una cuenta de banco cerrada, y aunque el banco me dice que rebotaron el pago, AirBnB no lo reconoce, así que he hospedado a alguien gratis, y el banco (santander) o AirBnN se quedaron con el pago.   Horrible, no se hacen cargo ni investigan."
"Muertas de frío y sin solución","Les doy una Estrella porque no pudo dar menos.El finde pasado estuvimos en Madrid con mis tres niñas pequeñas. Al llegar al alojamiento y después de preguntarle a la anfitriona descubro que nos ha dejado una toalla para 5 personas. Las mantas eran un papel de fumar y los calefactores si los enchufaba saltaban los plomos. Aviso a la anfitriona y pongo una queja. Me devuelven 28€, lo que es una vergüenza ya que me gasté el triple en mantas para mis hijas y toallas. No los uséis nunca por vuestro bien"
"No se hacen cargo de nada","No se hacen cargo de nada, falta de profesionalidad y problemas con esta plataforma. Lo q no entiendo es q no la regulen"